Country;Area;Moody_rating;Rating-based_defSpread;EquityRisk_prem;CountryRisk_Premium;Sovereign_CDS;EquityRisk_prem2;CountryRisk_Premium2;rgdpe;tax_rate
Abu Dhabi;Middle East;Aa2;0.005280606;0.057489562;0.007489562;0.0027;0.053829451;0.003829451;299500;0.15
Albania;Eastern Europe & Russia;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;18882.09552;0.15
Andorra (Principality of);Western Europe;Baa2;0.02036805;0.078888311;0.028888311;NA;NA;NA;3330;0.1898
Angola;Africa;B3;0.069527972;0.148612566;0.098612566;0.1004;0.192398826;0.142398826;106713.6187;0.25
Argentina;Central and South America;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;632770.2844;0.35
Armenia;Eastern Europe & Russia;Ba3;0.038472983;0.104566809;0.054566809;NA;NA;NA;19502.78399;0.18
Aruba;Caribbean;Baa2;0.02036805;0.078888311;0.028888311;NA;NA;NA;3126.019385;0.25
Australia;Australia & New Zealand;Aaa;0;0.05;0;0;0.05;0;1675418.665;0.3
Austria;Western Europe;Aa1;0.004274776;0.056062979;0.006062979;0;0.05;0;471400.0661;0.24
Azerbaijan;Eastern Europe & Russia;Ba1;0.026780214;0.087982779;0.037982779;NA;NA;NA;78721.05882;0.2
Bahamas;Caribbean;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;11210;0
Bahrain;Middle East;B2;0.058841033;0.133455119;0.083455119;0.0273;0.08872;0.03872;44390.82048;0
Bangladesh;Asia;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;460201.0001;0.325
Barbados;Caribbean;Caa1;0.080214912;0.163770013;0.113770013;NA;NA;NA;5637.914515;0.055
Belarus;Eastern Europe & Russia;C;0.175;0.298205125;0.248205125;NA;NA;NA;72793.45759;0.18
Belgium;Western Europe;Aa3;0.006412164;0.059094468;0.009094468;0;0.05;0;578604.1031;0.25
Belize;Central and South America;Caa2;0.096308186;0.186595345;0.136595345;NA;NA;NA;2824.081836;0.2718
Benin;Africa;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;17401.74631;0.3
Bermuda;Caribbean;A2;0.009052467;0.062839249;0.012839249;NA;NA;NA;7550.5;0
Bolivia;Central and South America;Caa1;0.080214912;0.163770013;0.113770013;NA;NA;NA;43068.88567;0.25
Bosnia and Herzegovina;Eastern Europe & Russia;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;24527.50729;0.1
Botswana;Africa;A3;0.012824328;0.068188936;0.018188936;NA;NA;NA;20352.32216;0.22
Brazil;Central and South America;Ba2;0.032186548;0.095650664;0.045650664;0.0245;0.084748718;0.034748718;1920095.561;0.34
Bulgaria;Eastern Europe & Russia;Baa1;0.017099104;0.074251915;0.024251915;0.0097;0.063757656;0.013757656;89040.39841;0.1
Burkina Faso;Africa;Caa1;0.080214912;0.163770013;0.113770013;NA;NA;NA;18884.61961;0.28
Cambodia;Asia;B2;0.058841033;0.133455119;0.083455119;NA;NA;NA;29956.76953;0.2
Cameroon;Africa;B2;0.058841033;0.133455119;0.083455119;0.0602;0.135382563;0.085382563;44341.64651;0.33
Canada;North America;Aaa;0;0.05;0;0;0.05;0;2139840.024;0.25
Cape Verde;Africa;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;1936;0
Cayman Islands;Caribbean;Aa3;0.006412164;0.059094468;0.009094468;NA;NA;NA;6028.373541;0
Chile;Central and South America;A2;0.009052467;0.062839249;0.012839249;0.0104;0.064750476;0.014750476;301025.2494;0.27
China;Asia;A1;0.007543722;0.060699374;0.010699374;0.0057;0.058084396;0.008084396;17963170.52;0.25
Colombia;Central and South America;Baa2;0.02036805;0.078888311;0.028888311;0.0311;0.094109597;0.044109597;343939.4453;0.35
Congo (Democratic Republic of);Africa;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;58065.95357;0.3
Congo (Republic of);Africa;Caa2;0.096308186;0.186595345;0.136595345;NA;NA;NA;14616;0.28
Cook Islands;Australia & New Zealand;B2;0.058841033;0.133455119;0.083455119;NA;NA;NA;1414;0.2843
Costa Rica;Central and South America;B2;0.058841033;0.133455119;0.083455119;0.029;0.091131135;0.041131135;68380.83832;0.3
Côte d'Ivoire;Africa;Ba3;0.038472983;0.104566809;0.054566809;NA;NA;NA;70018.71502;0.25
Croatia;Eastern Europe & Russia;Baa2;0.02036805;0.078888311;0.028888311;0.0069;0.059786374;0.009786374;70964.60646;0.18
Cuba;Caribbean;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;545217.9;0.2718
Curacao;Caribbean;Baa2;0.02036805;0.078888311;0.028888311;NA;NA;NA;2699.612458;0.22
Cyprus;Western Europe;Ba1;0.026780214;0.087982779;0.037982779;0.0071;0.060070037;0.010070037;28439.05274;0.125
Czech Republic;Eastern Europe & Russia;Aa3;0.006412164;0.059094468;0.009094468;0.0002;0.050283663;0.000283663;290923.5347;0.19
Denmark;Western Europe;Aaa;0;0.05;0;0;0.05;0;395403.9066;0.22
Dominican Republic;Caribbean;Ba3;0.038472983;0.104566809;0.054566809;NA;NA;NA;113641.8574;0.27
Ecuador;Central and South America;Caa3;0.106995126;0.201752792;0.151752792;NA;NA;NA;115049.476;0.25
Egypt;Africa;B3;0.069527972;0.148612566;0.098612566;0.1276;0.230976994;0.180976994;476747.7204;0.225
El Salvador;Central and South America;Caa3;0.106995126;0.201752792;0.151752792;0.1445;0.254946518;0.204946518;32488.72;0.3
Estonia;Eastern Europe & Russia;A1;0.007543722;0.060699374;0.010699374;0.0048;0.056807912;0.006807912;38100.81296;0.2
Ethiopia;Africa;Caa2;0.096308186;0.186595345;0.136595345;0.2793;0.44613538;0.39613538;126783.4725;0.3
Fiji;Asia;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;4943.2482;0.2
Finland;Western Europe;Aa1;0.004274776;0.056062979;0.006062979;0;0.05;0;280825.9578;0.2
France;Western Europe;Aa2;0.005280606;0.057489562;0.007489562;0;0.05;0;2782905.326;0.25
Gabon;Africa;Caa1;0.080214912;0.163770013;0.113770013;NA;NA;NA;21071.73923;0.3
Georgia;Eastern Europe & Russia;Ba2;0.032186548;0.095650664;0.045650664;NA;NA;NA;24605.37542;0.15
Germany;Western Europe;Aaa;0;0.05;0;0;0.05;0;4072191.736;0.3
Ghana;Africa;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;72838.79879;0.25
Greece;Western Europe;Ba3;0.038472983;0.104566809;0.054566809;0.0088;0.062481172;0.012481172;219065.8725;0.22
Guatemala;Central and South America;Ba1;0.026780214;0.087982779;0.037982779;NA;NA;NA;95003.33338;0.25
Guernsey (States of);Western Europe;Aa2;0.005280606;0.057489562;0.007489562;NA;NA;NA;3446;0
Honduras;Central and South America;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;31717.70012;0.25
Hong Kong;Asia;Aa3;0.006412164;0.059094468;0.009094468;0.0011;0.051560147;0.001560147;359838.5988;0.165
Hungary;Eastern Europe & Russia;Baa2;0.02036805;0.078888311;0.028888311;0.0159;0.072551209;0.022551209;178788.5721;0.09
Iceland;Western Europe;A2;0.009052467;0.062839249;0.012839249;0.0038;0.055389597;0.005389597;27841.64804;0.2
India;Asia;Baa3;0.023511267;0.083346383;0.033346383;0.0099;0.064041319;0.014041319;3385089.882;0.3
Indonesia;Asia;Baa2;0.02036805;0.078888311;0.028888311;0.011;0.065601465;0.015601465;1319100.22;0.22
Iraq;Middle East;Caa1;0.080214912;0.163770013;0.113770013;0.0437;0.111980366;0.061980366;264182.1738;0.15
Ireland;Western Europe;Aa3;0.006412164;0.059094468;0.009094468;0;0.05;0;529244.8702;0.125
Isle of Man;Western Europe;Aa3;0.006412164;0.059094468;0.009094468;NA;NA;NA;6684.229269;0
Israel;Middle East;A1;0.007543722;0.060699374;0.010699374;0.0037;0.055247766;0.005247766;522033.4462;0.23
Italy;Western Europe;Baa3;0.023511267;0.083346383;0.033346383;0.0102;0.064466813;0.014466813;2010431.598;0.24
Jamaica;Caribbean;B2;0.058841033;0.133455119;0.083455119;NA;NA;NA;17097.76075;0.25
Japan;Asia;A1;0.007543722;0.060699374;0.010699374;0;0.05;0;4231141.202;0.232
Jersey (States of);Western Europe;Aa3;0.006412164;0.059094468;0.009094468;NA;NA;NA;4890;0
Jordan;Middle East;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;47451.49986;0.2
Kazakhstan;Eastern Europe & Russia;Baa2;0.02036805;0.078888311;0.028888311;0.0125;0.067728938;0.017728938;220623.002;0.2
Kenya;Africa;B3;0.069527972;0.148612566;0.098612566;0.0742;0.155238973;0.105238973;113420.0082;0.3
Korea;Asia;Aa2;0.005280606;0.057489562;0.007489562;0;0.05;0;1665245.539;0.25
Kuwait;Middle East;A1;0.007543722;0.060699374;0.010699374;0.0027;0.053829451;0.003829451;184558.2743;0.15
