years;life_expectancy;gov_expenditure;r&d_expenditure (%GDP);gdp;r&d expenditure
2012;61.3;2418894.8;2.08;11396052.5;23703789.2
2013;61;2456017.5;2.1;11516038.9;24183681.69
2014;61.3;2496431.8;2.11;11782469.9;24861011.49
2015;62.8;2546074.9;2.12;12215676.8;25897234.82
2016;64;2610893.6;2.12;12548225.2;26602237.42
2017;63.9;2691375.6;2.15;13075598;28112535.7
2018;64;2776086.5;2.19;13534230.1;29639963.92
2019;64.6;2884903.6;2.22;14019590.6;31123491.13
2020;64;3013343.1;2.3;13469533.3;30979926.59
2021;63.6;3198935.9;2.26;14582979.6;32957533.9

