time;consuption;housePrice;CPI
1995-Q1;70890.6;;
1995-Q2;73081.5;;
1995-Q3;75002;;
1995-Q4;76218.8;;
1996-Q1;77750.4;;
1996-Q2;78992.7;;
1996-Q3;79501.3;;
1996-Q4;79549.1;;
1997-Q1;79839.5;;
1997-Q2;79577;;
1997-Q3;80621.5;;
1997-Q4;84675.5;;
1998-Q1;82684.7;;
1998-Q2;84405.9;;
1998-Q3;85806.8;;
1998-Q4;90158.4;;
1999-Q1;89075;;
1999-Q2;91281;;
1999-Q3;93415;;
1999-Q4;96106;;
2000-Q1;98399;;
2000-Q2;99530;;
2000-Q3;101393;;
2000-Q4;103418;;
2001-Q1;105377;;
2001-Q2;107494;;
2001-Q3;109433;;
2001-Q4;110098;;
2002-Q1;111806;;70.165
2002-Q2;112880;;71.377
2002-Q3;114331;;71.351
2002-Q4;116518;;72.409
2003-Q1;117183;;72.765
2003-Q2;119776;;73.338
2003-Q3;121194;;73.431
2003-Q4;123395;;74.294
2004-Q1;126067;;74.322
2004-Q2;127864;;75.904
2004-Q3;130298;;75.796
2004-Q4;132656;;76.692
2005-Q1;134427;;76.846
2005-Q2;137123;;78.284
2005-Q3;139941;;78.627
2005-Q4;142724;123.7;79.557
2006-Q1;145172;128.3;79.833
2006-Q2;148521;133.79;81.374
2006-Q3;150320;138.16;80.922
2006-Q4;152307;141.74;81.46233333
2007-Q1;155141;145.14;81.371
2007-Q2;157614;149.29;83.133
2007-Q3;159524;150.9;82.87066667
2007-Q4;163506;149.82;84.68733333
2008-Q1;165233;149.27;84.93666667
2008-Q2;164679;148.88;86.95766667
2008-Q3;163403;146.51;86.93533333
2008-Q4;160311;141.99;86.765
2009-Q1;156961;138.2;85.33366667
2009-Q2;154910;137.58;86.37066667
2009-Q3;155232;136.33;86.00633333
2009-Q4;156400;135.78;86.88933333
2010-Q1;157956;134.08;86.266
2010-Q2;159438;136.26;87.74366667
2010-Q3;159810;134.01;87.68666667
2010-Q4;161097;133.86;89.106
2011-Q1;160883;129.31;89.27233333
2011-Q2;160627;127.76;90.80833333
2011-Q3;160296;123.2;90.37433333
2011-Q4;159097;116.8;91.55933333
2012-Q1;159930;110.97;91.01933333
2012-Q2;158934;107.37;92.594
2012-Q3;157781;103.36;92.86733333
2012-Q4;156740;101.91;94.389
2013-Q1;154991;96.75;93.405
2013-Q2;154587;95.98;94.18966667
2013-Q3;155436;96.72;93.989
2013-Q4;156244;95.5;94.51
2014-Q1;156654;95.2;93.41566667
2014-Q2;158021;96.78;94.39633333
2014-Q3;158658;96.99;93.67933333
2014-Q4;159331;97.18;94.034
2015-Q1;160459;96.67;92.464
2015-Q2;161888;100.67;94.15666667
2015-Q3;163563;101.34;93.294
2015-Q4;164149;101.31;93.73166667
2016-Q1;165081;102.74;91.85566667
2016-Q2;166656;104.55;93.26666667
2016-Q3;168833;105.41;93.12233333
2016-Q4;171262;105.78;94.64466667
2017-Q1;173826;108.2;94.37566667
2017-Q2;175963;110.39;95.12966667
2017-Q3;177256;112.43;94.66233333
2017-Q4;178501;113.39;96.01566667
2018-Q1;180317;114.96;95.27566667
2018-Q2;181190;117.9;96.84366667
2018-Q3;182124;120.48;96.77466667
2018-Q4;183519;120.97;97.65733333
2019-Q1;184356;122.88;96.358
2019-Q2;183906;124.27;97.73233333
2019-Q3;185088;126.26;97.077
2019-Q4;186579;125.44;98.088
2020-Q1;173106;126.92;96.93833333
2020-Q2;129547;126.98;97.089
2020-Q3;160024;128.56;96.7
2020-Q4;159851;127.55;97.574
2021-Q1;161415;128.12;97.949
2021-Q2;166620;131.15;100.046
2021-Q3;176087;133.92;100.575
2021-Q4;185509;135.58;103.965
2022-Q1;192274;139.05;107.566
2022-Q2;198259;141.71;110.267
2022-Q3;202600;144.15;109.498
2022-Q4;200467;142.99;109.899
2023-Q1;208544;143.98;111.111
2023-Q2;210595;146.97;112.354
