OCUP1;Administrativos;Agricultura y Pesca;Comercio y Restauración;Dirección Empresas y Admón Pública;Fuerzas Armadas;Industria manufacturera y construcción;No cualificados;Operadores de maquinaria;Técnicos profesionales y científicos;Técnicos y profesionales de apoyo
ACT1;;;;;;;;;;
Admón Pública;0,05612394;0,002338498;0,201110786;0,009938614;0,037708272;0,010230927;0,024261912;0,005846244;0,561824028;0,090616779
Agricultura, silvicultura y pesca;0,018211921;0,427152318;0,01986755;0,003311258;0;0,016556291;0,447019868;0,043046358;0,013245033;0,011589404
Comercio y Hostelería;0,076175466;0,00131337;0,566587864;0,023903336;0;0,070133964;0,131599685;0,042815866;0,030732861;0,056737589
Construcción;0,078553616;0;0;0,019950125;0;0,592269327;0,123441397;0,052369077;0,063591022;0,069825436
Construcción Maquinaria;0,068313953;0;0,001453488;0,020348837;0;0,324127907;0,043604651;0,234011628;0,145348837;0,162790698
Industria alimentaria y textil;0,081545064;0,004291845;0,015736767;0,025751073;0;0,311874106;0,123032904;0,26323319;0,064377682;0,110157368
Industria extractiva, quimica y energía;0,089591568;0;0,005270092;0,031620553;0;0,231884058;0,08168643;0,235836627;0,162055336;0,162055336
Intermediación financiera;0,196011396;0,018233618;0,06951567;0,03019943;0;0,021652422;0,103703704;0,006267806;0,341310541;0,213105413
Otros Servicios;0,067518248;0,005474453;0,36770073;0,026459854;0;0,030109489;0,14689781;0,017335766;0,102189781;0,236313869
Transporte;0,147275405;0;0,040500736;0,023564065;0;0,02724595;0,094256259;0,207658321;0,202503682;0,256995582
