CCAA;AÑO;SECTOR ;SEXO;Tasa de paro;%_inactivos;TASA_DE_ACTIVIDAD;%_ocup;%act_educ
            01 Andalucía;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;18.36;73.3;55.73;52.7;20.3
            02 Aragón;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;9.42;72.2;53.23;45.7;16.8
            03 Asturias, Principado de;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;17.66;73.4;40.56;38.6;17.3
            04 Balears, Illes;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;6.30;73.3;59.41;51.3;27.6
            05 Canarias;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;20.28;69.2;56.80;51.1;26.8
            06 Cantabria;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;7.57;74.3;43.56;39.4;19.5
            07 Castilla y León;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;9.19;75.9;48.88;50.3;21.6
            08 Castilla - La Mancha;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;12.91;78.7;59.46;58.4;24.5
            09 Cataluña;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;11.69;74.5;54.19;45.2;18.4
            10 Comunitat Valenciana;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;13.41;70.7;56.93;52.5;21.0
            11 Extremadura;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;17.87;80.8;54.96;55.4;22.3
            12 Galicia;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;12.06;78.2;44.29;45.4;17.9
            13 Madrid, Comunidad de;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;10.90;66.2;58.46;42.8;24.6
            14 Murcia, Región de;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;12.61;78.1;62.18;59.7;25.6
            15 Navarra, Comunidad Foral de;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;16.86;72.5;48.98;36.5;17.9
            16 País Vasco;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;14.07;59.4;42.28;27.1;13.6
            17 Rioja, La;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;14.21;74.9;54.29;45.8;20.8
            18 Ceuta;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;29.53;68.2;70.76;63.7;41.1
            19 Melilla;2022;Formación general, formación básica de adultos y habilidades personales;Hombres;17.12;46.2;65.36;44.8;19.4
            01 Andalucía;2022;Educación;Hombres;10.24;72.0;72.02;53.5;5.4
            02 Aragón;2022;Educación;Hombres;0.00;71.4;73.04;41.7;4.4
            03 Asturias, Principado de;2022;Educación;Hombres;29.81;69.6;56.97;38.6;2.7
            04 Balears, Illes;2022;Educación;Hombres;0.00;70.7;69.18;50.2;2.6
            05 Canarias;2022;Educación;Hombres;18.81;73.0;61.24;48.1;2.2
            06 Cantabria;2022;Educación;Hombres;0.00;65.8;75.26;38.3;4.0
            07 Castilla y León;2022;Educación;Hombres;15.79;77.7;62.28;46.7;4.1
            08 Castilla - La Mancha;2022;Educación;Hombres;6.54;80.2;72.35;59.3;3.7
            09 Cataluña;2022;Educación;Hombres;0.00;77.3;72.37;45.5;3.1
            10 Comunitat Valenciana;2022;Educación;Hombres;17.04;73.6;61.89;48.3;4.0
            11 Extremadura;2022;Educación;Hombres;5.53;80.3;50.68;59.0;3.5
            12 Galicia;2022;Educación;Hombres;6.94;77.3;62.73;46.5;2.9
            13 Madrid, Comunidad de;2022;Educación;Hombres;35.55;67.3;57.95;40.1;2.0
            14 Murcia, Región de;2022;Educación;Hombres;9.81;77.6;79.59;55.2;3.8
            15 Navarra, Comunidad Foral de;2022;Educación;Hombres;11.70;71.3;80.33;37.1;4.3
            16 País Vasco;2022;Educación;Hombres;6.30;59.7;82.48;28.3;3.7
            17 Rioja, La;2022;Educación;Hombres;0.00;75.9;50.35;53.4;2.5
            18 Ceuta;2022;Educación;Hombres;0.00;71.9;46.26;60.0;3.3
            19 Melilla;2022;Educación;Hombres;0.00;70.9;57.56;48.1;4.2
            01 Andalucía;2022;Artes, humanidades y lenguas;Hombres;10.87;76.5;66.44;56.0;4.3
            02 Aragón;2022;Artes, humanidades y lenguas;Hombres;31.70;74.9;67.92;45.4;3.6
            03 Asturias, Principado de;2022;Artes, humanidades y lenguas;Hombres;4.96;70.6;54.17;39.9;3.7
            04 Balears, Illes;2022;Artes, humanidades y lenguas;Hombres;0.00;75.8;77.89;56.4;4.1
            05 Canarias;2022;Artes, humanidades y lenguas;Hombres;2.10;75.3;65.34;51.9;2.6
            06 Cantabria;2022;Artes, humanidades y lenguas;Hombres;11.00;71.7;92.12;43.4;1.5
