CCAA;año;edad;sexo;tasa_empleo;tasa_paro;tasa_actividad;;;;;;;;
            01 Andalucía;2023;        Menores de 25 años;Hombres;21.85;40.45;36.69;;;;;;;;
            02 Aragón;2023;        Menores de 25 años;Hombres;32.61;17.27;39.41;;;;;;;;
            03 Asturias, Principado de;2023;        Menores de 25 años;Hombres;20.49;31.88;30.08;;;;;;;;
            04 Balears, Illes;2023;        Menores de 25 años;Hombres;33.17;22.38;42.73;;;;;;;;
            05 Canarias;2023;        Menores de 25 años;Hombres;26.48;33.71;39.94;;;;;;;;
            06 Cantabria;2023;        Menores de 25 años;Hombres;22.49;20.50;28.29;;;;;;;;
            07 Castilla y León;2023;        Menores de 25 años;Hombres;25.03;25.52;33.60;;;;;;;;
            08 Castilla - La Mancha;2023;        Menores de 25 años;Hombres;29.05;28.42;40.59;;;x;;;;;
            09 Cataluña;2023;        Menores de 25 años;Hombres;36.64;21.33;46.57;;;;;;;;
            10 Comunitat Valenciana;2023;        Menores de 25 años;Hombres;30.14;28.46;42.12;;;;;;;;
            11 Extremadura;2023;        Menores de 25 años;Hombres;23.39;29.31;33.09;;;;;;;;
            12 Galicia;2023;        Menores de 25 años;Hombres;24.05;23.59;31.48;;;;;;;;
            13 Madrid, Comunidad de;2023;        Menores de 25 años;Hombres;27.50;29.26;38.87;;;;;;;;
            14 Murcia, Región de;2023;        Menores de 25 años;Hombres;29.90;25.01;39.87;;;;;;;;
            15 Navarra, Comunidad Foral de;2023;        Menores de 25 años;Hombres;27.49;29.01;38.73;;;;;;;;
            16 País Vasco;2023;        Menores de 25 años;Hombres;25.74;25.65;34.62;;;;;;;;
            17 Rioja, La;2023;        Menores de 25 años;Hombres;27.41;29.75;39.03;;;;;;;;
            18 Ceuta;2023;        Menores de 25 años;Hombres;12.58;58.75;30.50;;;;;;;;
            19 Melilla;2023;        Menores de 25 años;Hombres;21.38;49.83;42.61;;;;;;;;
            01 Andalucía;2023;        25 y más años;Hombres;23.24;13.43;34.46;;;;;;;;
            02 Aragón;2023;        25 y más años;Hombres;33.45;5.31;41.56;;;;;;;;
            03 Asturias, Principado de;2023;        25 y más años;Hombres;17.02;10.02;28.82;;;;;;;;
            04 Balears, Illes;2023;        25 y más años;Hombres;33.00;9.07;45.06;;;;;;;;
            05 Canarias;2023;        25 y más años;Hombres;19.64;12.60;34.39;;;;;;;;
            06 Cantabria;2023;        25 y más años;Hombres;21.67;5.64;28.60;;;;;;;;
            07 Castilla y León;2023;        25 y más años;Hombres;25.76;6.98;35.15;;;;;;;;
            08 Castilla - La Mancha;2023;        25 y más años;Hombres;30.27;8.59;41.95;;;;;;;;
            09 Cataluña;2023;        25 y más años;Hombres;35.66;7.45;46.10;;;;;;;;
